docID;Name;Link;criterionID;criterion;score
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;B4;Feasibility - Capabilities;1
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;B5;Feasibility - Resources;0
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;B6;Recommendations of Techniques;2
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;B7;Recommendations of Training;1
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;B8;Evidence of Adoption;1
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;C1;Development of dynamic capabilities;2
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;C2;Simple solutions;1
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;C3;Managerial capability development;2
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;C4;Access to financial resources;0
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;C5;Sharing of success stories;2
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;C6;Market regulation & standards;0
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;C7;AI Strategy;2
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;C8;Innovation culture;2
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;C9;Data governance;2
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;C10;Ethical considerations;0
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;D1;Management support;1
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;D2;HRM;1
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;D3;R&D;1
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;D4;Inbound logistics;0
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;D5;Production;1
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;D6;Outbound logistics;0
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;D7;Marketing & Sales;1
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;D8;Customer support;1
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;D9;Security;0
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;A1;Conceptualization;2
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;A2;Data Preparation & Exploration;2
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;A3;Model Building and Evaluation;1
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;A4;Deployment and Monitoring;2
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;B1;Examples;2
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;B2;Quick Read;2
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;B3;Stakeholder Inclusivity;1
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;B4;Feasibility - Capabilities;2
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;B5;Feasibility - Resources;2
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;B6;Recommendations of Techniques;2
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;B7;Recommendations of Training;2
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;B8;Evidence of Adoption;0
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;C1;Development of dynamic capabilities;0
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;C2;Simple solutions;2
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;C3;Managerial capability development;1
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;C4;Access to financial resources;0
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;C5;Sharing of success stories;1
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;C6;Market regulation & standards;2
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;C7;AI Strategy;1
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;C8;Innovation culture;0
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;C9;Data governance;2
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;C10;Ethical considerations;2
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;D1;Management support;2
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;D2;HRM;1
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;D3;R&D;2
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;D4;Inbound logistics;0
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;D5;Production;2
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;D6;Outbound logistics;0
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;D7;Marketing & Sales;2
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;D8;Customer support;2
4;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;D9;Security;0
5;KITT4SME;https://kitt4sme.eu/ ;A1;Conceptualization;0
5;KITT4SME;https://kitt4sme.eu/ ;A2;Data Preparation & Exploration;0
5;KITT4SME;https://kitt4sme.eu/ ;A3;Model Building and Evaluation;1
5;KITT4SME;https://kitt4sme.eu/ ;A4;Deployment and Monitoring;2
5;KITT4SME;https://kitt4sme.eu/ ;B1;Examples;2
5;KITT4SME;https://kitt4sme.eu/ ;B2;Quick Read;2
5;KITT4SME;https://kitt4sme.eu/ ;B3;Stakeholder Inclusivity;1
5;KITT4SME;https://kitt4sme.eu/ ;B4;Feasibility - Capabilities;1
5;KITT4SME;https://kitt4sme.eu/ ;B5;Feasibility - Resources;1
5;KITT4SME;https://kitt4sme.eu/ ;B6;Recommendations of Techniques;2
5;KITT4SME;https://kitt4sme.eu/ ;B7;Recommendations of Training;2
5;KITT4SME;https://kitt4sme.eu/ ;B8;Evidence of Adoption;2
5;KITT4SME;https://kitt4sme.eu/ ;C1;Development of dynamic capabilities;0
5;KITT4SME;https://kitt4sme.eu/ ;C2;Simple solutions;0
5;KITT4SME;https://kitt4sme.eu/ ;C3;Managerial capability development;1
5;KITT4SME;https://kitt4sme.eu/ ;C4;Access to financial resources;0
5;KITT4SME;https://kitt4sme.eu/ ;C5;Sharing of success stories;1
5;KITT4SME;https://kitt4sme.eu/ ;C6;Market regulation & standards;1
5;KITT4SME;https://kitt4sme.eu/ ;C7;AI Strategy;0
5;KITT4SME;https://kitt4sme.eu/ ;C8;Innovation culture;0
5;KITT4SME;https://kitt4sme.eu/ ;C9;Data governance;0
5;KITT4SME;https://kitt4sme.eu/ ;C10;Ethical considerations;0
5;KITT4SME;https://kitt4sme.eu/ ;D1;Management support;2
5;KITT4SME;https://kitt4sme.eu/ ;D2;HRM;2
5;KITT4SME;https://kitt4sme.eu/ ;D3;R&D;0
5;KITT4SME;https://kitt4sme.eu/ ;D4;Inbound logistics;0
5;KITT4SME;https://kitt4sme.eu/ ;D5;Production;2
5;KITT4SME;https://kitt4sme.eu/ ;D6;Outbound logistics;0
5;KITT4SME;https://kitt4sme.eu/ ;D7;Marketing & Sales;0
5;KITT4SME;https://kitt4sme.eu/ ;D8;Customer support;0
5;KITT4SME;https://kitt4sme.eu/ ;D9;Security;0
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;A1;Conceptualization;2
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;A2;Data Preparation & Exploration;2
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;A3;Model Building and Evaluation;1
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;A4;Deployment and Monitoring;0
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;B1;Examples;2
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;B2;Quick Read;0
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;B3;Stakeholder Inclusivity;2
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;B4;Feasibility - Capabilities;1
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;B5;Feasibility - Resources;2
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;B6;Recommendations of Techniques;2
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;B7;Recommendations of Training;0
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;B8;Evidence of Adoption;0
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;C1;Development of dynamic capabilities;0
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;C2;Simple solutions;2
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;C3;Managerial capability development;2
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;C4;Access to financial resources;0
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;C5;Sharing of success stories;0
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;C6;Market regulation & standards;2
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;C7;AI Strategy;2
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;C8;Innovation culture;0
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;C9;Data governance;2
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;C10;Ethical considerations;2
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;D1;Management support;1
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;D2;HRM;0
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;D3;R&D;1
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;D4;Inbound logistics;0
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;D5;Production;1
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;D6;Outbound logistics;0
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;D7;Marketing & Sales;1
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;D8;Customer support;0
6;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;D9;Security;0
7;Turning AI into concrete value: the successful implementers’ toolkit ;https://www.capgemini.com/gb-en/wp-content/uploads/sites/3/2017/09/dti-ai-report_final1-1.pdf;A1;Conceptualization;2
7;Turning AI into concrete value: the successful implementers’ toolkit ;https://www.capgemini.com/gb-en/wp-content/uploads/sites/3/2017/09/dti-ai-report_final1-1.pdf;A2;Data Preparation & Exploration;1
7;Turning AI into concrete value: the successful implementers’ toolkit ;https://www.capgemini.com/gb-en/wp-content/uploads/sites/3/2017/09/dti-ai-report_final1-1.pdf;A3;Model Building and Evaluation;1
7;Turning AI into concrete value: the successful implementers’ toolkit ;https://www.capgemini.com/gb-en/wp-content/uploads/sites/3/2017/09/dti-ai-report_final1-1.pdf;A4;Deployment and Monitoring;1
7;Turning AI into concrete value: the successful implementers’ toolkit ;https://www.capgemini.com/gb-en/wp-content/uploads/sites/3/2017/09/dti-ai-report_final1-1.pdf;B1;Examples;2
7;Turning AI into concrete value: the successful implementers’ toolkit ;https://www.capgemini.com/gb-en/wp-content/uploads/sites/3/2017/09/dti-ai-report_final1-1.pdf;B2;Quick Read;1
7;Turning AI into concrete value: the successful implementers’ toolkit ;https://www.capgemini.com/gb-en/wp-content/uploads/sites/3/2017/09/dti-ai-report_final1-1.pdf;B3;Stakeholder Inclusivity;2
7;Turning AI into concrete value: the successful implementers’ toolkit ;https://www.capgemini.com/gb-en/wp-content/uploads/sites/3/2017/09/dti-ai-report_final1-1.pdf;B4;Feasibility - Capabilities;2
7;Turning AI into concrete value: the successful implementers’ toolkit ;https://www.capgemini.com/gb-en/wp-content/uploads/sites/3/2017/09/dti-ai-report_final1-1.pdf;B5;Feasibility - Resources;1
7;Turning AI into concrete value: the successful implementers’ toolkit ;https://www.capgemini.com/gb-en/wp-content/uploads/sites/3/2017/09/dti-ai-report_final1-1.pdf;B6;Recommendations of Techniques;2
7;Turning AI into concrete value: the successful implementers’ toolkit ;https://www.capgemini.com/gb-en/wp-content/uploads/sites/3/2017/09/dti-ai-report_final1-1.pdf;B7;Recommendations of Training;1
7;Turning AI into concrete value: the successful implementers’ toolkit ;https://www.capgemini.com/gb-en/wp-content/uploads/sites/3/2017/09/dti-ai-report_final1-1.pdf;B8;Evidence of Adoption;0
7;Turning AI into concrete value: the successful implementers’ toolkit ;https://www.capgemini.com/gb-en/wp-content/uploads/sites/3/2017/09/dti-ai-report_final1-1.pdf;C1;Development of dynamic capabilities;1
