docID;Reference;Name;Link;Year;publisherID;typeID
31;;A New Organizational Chassis for Artificial Intelligence - Exploring Organizational Readiness Factors;https://web.archive.org/web/20200324144101id_/https://aisel.aisnet.org/cgi/viewcontent.cgi?article=1105&context=ecis2019_rp;2019;4;2
32;;Industrial Artificial Intelligence in Industry 4.0 - Systematic Review, Challenges and Outlook;https://ieeexplore.ieee.org/document/9285283;2020;18;2
33;;Artificial intelligence – challenges and opportunities for international HRM: a review and research agenda;https://www.tandfonline.com/doi/full/10.1080/09585192.2022.2035161;2022;41;2
34;;Adoption and use of AI tools: a research agenda grounded in UTAUT;https://link.springer.com/article/10.1007/s10479-020-03918-9;2022;3;2
35;;Does marketing analytics capability boost firms' competitive marketing performance in data-rich business environment?;https://www.emerald.com/insight/content/doi/10.1108/JEIM-05-2020-0185/full/html;2020;24;3
36;;Success Factors of Artificial Intelligence Implementation in Healthcare;10.3389/fdgth.2021.594971;2021;16;2
37;;The Role of Artificial and Nonartificial Intelligence in the New Product Success with Moderating Role of New Product Innovation: A Case of Manufacturing Companies in China;https://dl.acm.org/doi/abs/10.1155/2021/8891298;2021;9;3
38;;Towards AI-assisted digital twins for smart railways: preliminary guideline and reference architecture;10.1007/s40860-023-00208-6;2023;27;5
39;;Smart Infrastructures: Artificial Intelligence-Enabled Lifecycle Automation;10.1109/MIE.2022.3165673;2023;19;3
40;;Human-machine teaming is key to AI adoption: clinicians' Experiences with a deployed machine learning system;10.1038/s41746-022-00597-7;2022;32;5
41;;VBridge: Connecting the Dots Between Features and Data to Explain Healthcare Models;10.1109/TVCG.2021.3114836;2022;20;5
42;;Perceived Benefits of Automation and Artificial Intelligence in the AEC Sector: An Interpretive Structural Modeling Approach;10.3389/fbuil.2022.864814;2022;15;1
43;;A reference framework and overall planning of industrial artificial intelligence (I-AI) for new application scenarios;10.1007/s00170-018-3106-3;2018;40;2
44;;Demystifying AI: What Digital Transformation Leaders Can Teach You about Realistic Artificial Intelligence;https://doi.org/10.1177/1536504219865226;2019;6;2
45;;Industry 4.0 technologies: Implementation patterns in manufacturing companies;https://doi.org/10.1016/j.ijpe.2019.01.004;2019;22;2
46;;Big data as an exploration trigger or problem-solving patch: Design and integration of AI-embedded systems in the automotive industry;10.1016/j.technovation.2023.102763;2023;39;5
47;;"Digital transformation with Artificial
Intelligence: 10 examples and a guide";https://www.avenga.com/magazine/digital-transformation-with-artificial-intelligence-10-examples-a-guide/;2023;5;3
48;;AI Adoption: Shift your focus from tools and technology to solving problems;https://www.westmonroe.com/perspectives/point-of-view/ai-adoption-shift-focus-from-tools-technology-to-solving-problems;2023;44;3
49;;JUST AI reflection prototype;https://www.adalovelaceinstitute.org/project/just-ai-reflection-prototype/;2021;1;4
50;;Guidelines and quality criteria for artificial intelligence-based prediction models in healthcare: a scoping review;https://www.nature.com/articles/s41746-021-00549-7;2022;32;2
51;;Eneterprise AI Mastery Toolkit;https://www.alliekmiller.com/enterprise-ai-mastery-toolkit;;46;4
